,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
716,10/11,Bigambo Rochat,71036,19,Schweiz,FC Sion,321,FC Lausanne-Sport,527,Schweiz,ablösefrei
717,10/11,Obinna Nwaneri,37724,28,Nigeria,FC Sion,321,Kazma SC,13959,Kuwait,?
718,10/11,Álvaro Saborío,35378,28,Costa Rica,FC Sion,321,Real Salt Lake City,6643,Vereinigte Staaten,?
719,10/11,Óscar Scarione,47011,25,Argentinien,FC Thun,938,FC St. Gallen 1879,257,Schweiz,110 Tsd. €
720,10/11,Yves Zahnd,41391,24,Schweiz,FC Thun,938,SC Kriens,2074,Schweiz,ablösefrei
721,10/11,Fabian Stoller,32476,22,Schweiz,FC Thun,938,Hapoel Petah Tikva,262,Israel,ablösefrei
722,10/11,Edis Colic,112423,21,Bosnien-Herzegowina,FC Thun,938,FC Naters Oberwallis,5496,Schweiz,ablösefrei
723,10/11,Sascha Stulz,38639,22,Schweiz,FC Thun,938,FC Schaffhausen,1277,Schweiz,?
724,10/11,Roland Schwegler,2863,28,Schweiz,FC Luzern,434,FC Vaduz,163,Schweiz,ablösefrei
725,10/11,Davide Chiumiento,17332,25,Schweiz,FC Luzern,434,Vancouver Whitecaps FC,6321,Vereinigte Staaten,ablösefrei
726,10/11,Swen König,7141,24,Schweiz,FC Luzern,434,Grasshopper Club Zürich,504,Schweiz,ablösefrei
727,10/11,Jacopo Ravasi,45582,23,Italien,FC Luzern,434,AC Renate,24898,Italien,ablösefrei
728,10/11,Nassim Ben Khalifa,74288,18,Schweiz,Grasshopper Club Zürich,504,VfL Wolfsburg,82,Deutschland,"1,60 Mio. €"
729,10/11,Gonzalo Zárate,52731,25,Argentinien,Grasshopper Club Zürich,504,Red Bull Salzburg,409,Österreich,"1,30 Mio. €"
730,10/11,Senad Lulic,61449,24,Bosnien-Herzegowina,Grasshopper Club Zürich,504,BSC Young Boys,452,Schweiz,420 Tsd. €
731,10/11,Antonio dos Santos,10252,30,Brasilien,Grasshopper Club Zürich,504,Chernomorets 1919 Burgas,4494,Bulgarien,ablösefrei
732,10/11,Silas,123208,23,Brasilien,Grasshopper Club Zürich,504,Clube Náutico Capibaribe,2646,Brasilien,ablösefrei
733,10/11,Ivan Benito,3383,34,Schweiz,Grasshopper Club Zürich,504,BSC Young Boys,452,Schweiz,ablösefrei
734,10/11,Martin Steuble,79434,22,Philippinen,Grasshopper Club Zürich,504,FC Lausanne-Sport,527,Schweiz,ablösefrei
735,10/11,Jeff Strasser,24,35,Luxemburg,Grasshopper Club Zürich,504,CS Fola Esch,11976,Luxemburg,ablösefrei
736,10/11,Rolf Feltscher,52590,19,Venezuela,Grasshopper Club Zürich,504,Parma FC,130,Italien,ablösefrei
737,10/11,Gillian Ren,153775,17,Martinique,Neuchâtel Xamax,625,SR Delémont,939,Schweiz,ablösefrei
738,10/11,Sanel Kuljic,3026,33,Österreich,Neuchâtel Xamax,625,AE Larisa,4603,Griechenland,ablösefrei
739,10/11,Stéphane Garcia,64712,19,Schweiz,Neuchâtel Xamax,625,Etoile Carouge FC,1292,Schweiz,ablösefrei
740,10/11,Carlos Varela,2890,33,Schweiz,Neuchâtel Xamax,625,D.C. United,2440,Vereinigte Staaten,ablösefrei
741,10/11,Rodrigo Tosi,57089,27,Brasilien,Neuchâtel Xamax,625,FC Lausanne-Sport,527,Schweiz,ablösefrei
742,10/11,Laurent Walthert,9556,26,Schweiz,Neuchâtel Xamax,625,FC Biel-Bienne,2155,Schweiz,ablösefrei
743,10/11,Selver Hodzic,4864,31,Bosnien-Herzegowina,Neuchâtel Xamax,625,FC Lugano,2790,Schweiz,ablösefrei
744,10/11,William Edjenguélé,77287,23,Frankreich,Neuchâtel Xamax,625,Panetolikos GFS,6418,Griechenland,ablösefrei
745,10/11,Guy Eschmann,111434,18,Schweiz,Neuchâtel Xamax,625,RCD Mallorca U19,14742,Spanien,?
746,11/12,Sandro Wieser,130227,18,Liechtenstein,FC Basel 1893,26,TSG 1899 Hoffenheim,533,Deutschland,"1,00 Mio. €"
747,11/12,Beg Ferati,53808,24,Schweiz,FC Basel 1893,26,SC Freiburg,60,Deutschland,ablösefrei
748,11/12,Franco Costanzo,19962,30,Argentinien,FC Basel 1893,26,Olympiakos Piräus,683,Griechenland,ablösefrei
749,11/12,Behrang Safari,18807,26,Schweden,FC Basel 1893,26,RSC Anderlecht,58,Belgien,ablösefrei
750,11/12,Matthias Baron,38407,22,Deutschland,FC Basel 1893,26,FC Vaduz,163,Schweiz,ablösefrei
751,11/12,Dominik Ritter,62338,22,Schweiz,FC Basel 1893,26,FC Winterthur,242,Schweiz,ablösefrei
752,11/12,Daniel Unal,52559,21,Schweiz,FC Basel 1893,26,FC Locarno,2411,Schweiz,ablösefrei
753,11/12,Cagdas Atan,10152,31,Türkei,FC Basel 1893,26,Mersin Idmanyurdu,3216,Türkei,ablösefrei
754,11/12,Orhan Mustafi,74537,21,Schweiz,FC Basel 1893,26,Grasshopper Club Zürich,504,Schweiz,?
755,11/12,Ricardo Rodríguez,86784,19,Schweiz,FC Zürich,260,VfL Wolfsburg,82,Deutschland,"8,50 Mio. €"
